ICAO,Latitude,Longitude,Elevation
AAAD,-34.91666667,138.5166667,4
AAWR,-31.13333333,136.8,167
ABBN,-27.41666667,153.0666667,6
ABCV,-26.41666667,146.2666667,304
ABGL,-23.85,151.2666667,76
ABMA,-20.63333333,139.4666667,342
ABTL,-19.25,146.75,6
ACCC,-12.16666667,96.81666667,3
ADDN,-12.4,130.8666667,30
ADGV,-12.26666667,136.8166667,54
AGGH,-9.416666667,160.05,9
AGGL,-10.68333333,165.8,24
AGGM,-8.316666667,157.2666667,6
AHBR,-17.93333333,122.2166667,9
AHPD,-20.36666667,118.6166667,11
AMHB,-42.81666667,147.5,3
AMLV,-37.85,144.7166667,14
AMMG,-37.71666667,140.7666667,69
AMMQ,-54.46666667,158.9166667,6
ANAU,-0.55,166.9166667,7
ANYN,-0.55,166.9166667,7
APAL,-34.95,117.7833333,69
APCR,-24.88333333,113.6666667,7
APDN,-12.4,130.8666667,30
APFT,-30.81666667,128.0833333,160
APKG,-30.76666667,121.45,360
APPH,-31.91666667,115.95,12
ASAS,-23.8,133.9,544
ASLH,-31.51666667,159.0666667,6
ASNF,-29.01666667,167.9166667,109
ASNW,-34.95,150.5166667,110
ASSY,-33.95,151.1666667,3
ASWG,-35.13333333,147.4333333,213
ASWM,-32.76666667,151.8166667,11
AYGA,-6.083333333,145.4,1587
AYGN,-10.31666667,150.3333333,27
AYMD,-5.216666667,145.8,12
AYMH,-5.833333333,144.3,1642
AYMO,-2.066666667,147.4166667,4
AYNZ,-6.566666667,146.7166667,70
AYPY,-9.416666667,147.2166667,47
AYRB,-4.216666667,152.1666667,9
AYVN,-2.7,141.3,4
AYWK,-3.583333333,143.6666667,6
BGAA,68.7,-52.8,41
BGAM,65.58333333,-37.61666667,52
BGAS,59.96666667,-45.2,16
BGAT,67.76666667,-32.26666667,23
BGBW,61.16666667,-45.41666667,26
BGCH,68.75,-51.5,76
BGCO,70.73333333,-22.65,10
BGDB,74.28333333,-20.21666667,44
BGDH,76.76666667,-18.66666667,12
BGDU,76.5,-69,20
BGEM,68.7,-52.75,47
BGFD,60.25,-45.5,23
BGFH,62,-49.71666667,16
BGGD,61.21666667,-48.11666667,29
BGGH,64.2,-51.68333333,70
BGGN,69.31666667,-53.56666667,24
BGHB,66.91666667,-53.66666667,9
BGJH,60.71666667,-46.03333333,34
BGJN,69.25,-51.06666667,25
BGKK,65.56666667,-37.13333333,34
BGKT,70.41666667,-21.96666667,41
BGMQ,65.41666667,-52.93333333,15
BGMV,72.25,-24.31666667,10
BGNN,60.51666667,-45.75,20
BGNS,61,-46,30
BGPC,60.01666667,-43.11666667,19
BGPT,62.01666667,-49.66666667,2
BGQQ,77.48333333,-69.38333333,19
BGSC,70.46666667,-21.96666667,66
BGSF,67,-50.71666667,53
BGSS,66.95,-53.73333333,50
BGST,65.41666667,-53,24
BGTL,76.53333333,-68.7,77
BGTM,62.41666667,-42.25,10
BGUK,72.78333333,-56.13333333,127
BGUP,72.76666667,-56.16666667,63
BGUQ,70.73333333,-52.7,2
BIAR,65.66666667,-18.06666667,27
BIBD,65.63333333,-23.55,6
BIEG,65.26666667,-14.4,38
BIGR,66.51666667,-18.01666667,16
BIHN,64.3,-15.23333333,7
BIIS,66.05,-23.13333333,3
BIKA,65.93333333,-36.68333333,56
BIKF,63.98333333,-22.6,54
BIKR,65.73333333,-19.56666667,3
BIRG,66.45,-15.93333333,10
BIRK,64.13333333,-21.93333333,61
BIST,65.06666667,-22.71666667,8
BIVM,63.41666667,-20.26666667,124
BIVO,65.75,-14.81666667,48
BKPR,42.58333333,21.03333333,576
BMKA,63.43333333,-51.18333333,41
CACQ,47.01666667,-65.46666667,31
CAHR,46.35,-63.16666667,53
CBBC,52.18333333,-128.15,43
CERM,47.41666667,-68.31666667,154
CMBB,45.61666667,-74.41666667,75
CMBR,45.31666667,-73.91666667,22
CMCT,45.33333333,-73.58333333,39
CMCW,45.01666667,-73.86666667,262
CMFM,47.31666667,-71.15,672
CMGB,45.36666667,-72.76666667,86
CMHB,45.63333333,-75.2,105
CMHN,45.8,-74.65,168
CMHW,45.16666667,-73.86666667,42
CMLA,45.06666667,-73.83333333,61
CMLI,45.86666667,-73,31
CMPD,45.88333333,-74.1,175
CMPL,45.3,-74.3,56
CMRG,45.41666667,-73.05,54
